Nistkasten-nummer,Datum,Zustand Kasten,gereinigt,besetzt,Anzahl Eier,Anzahl Jungvögel,Alter Jungvögel,Vogelart,beringt,Bemerkungen
400225,5/17/2012,in Ordnung,nein,ja,0,10,15,Kohlmeise,10,
400226,5/17/2012,in Ordnung,nein,nein, , , , , ,Hornisse/Wespe
400227,5/17/2012,in Ordnung,nein,nein, , , , , ,
400228,5/17/2012,in Ordnung,nein,nein, , , , , ,
400229,5/17/2012,in Ordnung,nein,ja,0,5,2,Kohlmeise,0,
400230,5/17/2012,in Ordnung,nein,ja,0,0, ,Meise unbestimmt, ,
400231,5/17/2012,in Ordnung,nein,ja,0,7,8,Kohlmeise,7,
400232,5/17/2012,in Ordnung,nein,nein, , , , , ,
400233,5/17/2012,in Ordnung,nein,nein, , , , , ,
400234,5/17/2012,in Ordnung,nein,nein, , , , , ,
400235,5/17/2012,in Ordnung,nein,ja,0,0, ,Meise unbestimmt, ,
400236,5/17/2012,in Ordnung,nein,nein, , , , , ,Hornisse
400237,5/17/2012,in Ordnung,nein,nein, , , , , ,
400094,5/17/2012,in Ordnung,nein,nein, , , , , ,
900134,5/17/2012,in Ordnung,nein,nein, , , , , ,
900135,5/17/2012,in Ordnung,nein,nein, , , , , ,
900136,5/17/2012,in Ordnung,nein,ja,0,4,10,Feldsperling,4,
900137,5/17/2012,leicht defekt,nein,nein, , , , , ,
900138,5/17/2012,in Ordnung,nein,ja,0,6,2,Kohlmeise,0,
