Nistkasten-nummer,Datum,Zustand Kasten,gereinigt,besetzt,Anzahl Eier,Anzahl Jungvögel,Alter Jungvögel,Vogelart,beringt,Bemerkungen
400009,15-05-2012,in Ordnung,nein,ja,0,0, ,unbestimmt, ,
400034,15-05-2012,in Ordnung,nein,nein, , , , , ,
400015,15-05-2012,in Ordnung,nein,nein, , , , , ,
400010,15-05-2012,in Ordnung,nein,ja,0,5,3,Kohlmeise,0,Weibchen Wiederfang
400107,15-05-2012,in Ordnung,nein,ja,0,10,11,Kohlmeise,10,
400051,15-05-2012,in Ordnung,nein,ja,2,4,1,Blaumeise,0,Weibchen beringt
400058,15-05-2012,in Ordnung,nein,ja,0,6,8,Feldsperling,6,
400057,15-05-2012,in Ordnung,nein,ja,0,9,8,Kohlmeise,9,
400060,15-05-2012,in Ordnung,nein,ja,2,4,8,Kohlmeise,4,
400056,15-05-2012,in Ordnung,nein,ja,0,6,8,Feldsperling,6,
400216,15-05-2012,in Ordnung,nein,ja, , , ,Kleiber, ,nicht zu öffnen -> verkleibert
400145,15-05-2012,in Ordnung,nein,ja,1,6,1,Blaumeise,0,
400144,15-05-2012,Front fehlt,nein,nein, , , , , ,
400115,15-05-2012,in Ordnung,nein,ja,0,9,1,Blaumeise,0,
400047,15-05-2012,in Ordnung,nein,nein, , , , , ,
400092,15-05-2012,in Ordnung,nein,ja,0,0, ,Feldsperling, ,verlassen wg Hornisse
400143,15-05-2012,in Ordnung,nein,ja,0,4,3,Kohlmeise,0,Weibchen beringt
400116,15-05-2012,in Ordnung,nein,ja,0,5,3,Feldsperling,0,Weibchen beringt
400040,15-05-2012,in Ordnung,nein,ja,0,9,3,Blaumeise,0,
400117,15-05-2012,in Ordnung,nein,ja,0,5,2,Kohlmeise,0,Weibchen beringt
400142,15-05-2012,in Ordnung,nein,ja,0,5,2,Meise unbestimmt,0,
400049,15-05-2012,in Ordnung,nein,nein, , , , , ,
400141,15-05-2012,in Ordnung,nein,ja,0,3,3,Blaumeise,0,Weibchen beringt
400118,15-05-2012,in Ordnung,nein,ja,5,1,5,Feldsperling,1,
400043,15-05-2012,in Ordnung,nein,ja,0,9,2,Blaumeise,0,
400140,15-05-2012,in Ordnung,nein,ja,0,0, ,Meise unbestimmt, ,verlassen wg Hornisse
400119,15-05-2012,in Ordnung,nein,ja,0,6,6,Feldsperling,6,
400139,15-05-2012,in Ordnung,nein,ja,0,9,1,Meise unbestimmt,0,
400217,16-05-2012,Verschluss defekt,nein,ja,0,10,2,Blaumeise,0,Weibchen beringt
400218,16-05-2012,in Ordnung,nein,ja,0,8,10,Kohlmeise,8,
400219,16-05-2012,in Ordnung,nein,nein, , , , , ,
400220,16-05-2012,in Ordnung,nein,nein, , , , , ,
400221,16-05-2012,in Ordnung,nein,nein, , , , , ,
400222,16-05-2012,in Ordnung,nein,nein, , , , , ,
400223,16-05-2012,in Ordnung,nein,ja,1,10,6,Kohlmeise,10,
400224,16-05-2012,in Ordnung,nein,ja,2,14,6,Blaumeise,14,
900033,16-05-2012,in Ordnung,nein,ja,0,6,6,Kohlmeise,6,
900039,16-05-2012,in Ordnung,nein,ja,0,10,6,Blaumeise,10,
900113,16-05-2012,in Ordnung,nein,nein, , , , , ,Hummeln
900114,16-05-2012,in Ordnung,nein,ja,0,0, ,unbestimmt, ,
900115,16-05-2012,in Ordnung,nein,ja,0,0, ,Feldsperling, ,
900116,16-05-2012,in Ordnung,nein,ja,0,0, ,Feldsperling, ,
900117,16-05-2012,in Ordnung,nein,ja,0,6,12,Star,6,
900118,16-05-2012,in Ordnung,nein,ja,0,0, ,unbestimmt, ,
900119,16-05-2012,in Ordnung,nein,ja,0,5,3,Kohlmeise,0,Weibchen beringt
900120,16-05-2012,in Ordnung,nein,nein, , , , , ,
900121,16-05-2012,Dach defekt,nein,nein, , , , , ,
900122,16-05-2012,in Ordnung,nein,ja,0,0, ,Meise unbestimmt, ,evtl. verlassen wg. Hummeln
900123,16-05-2012,in Ordnung,nein,nein, , , , , ,
900124,16-05-2012,in Ordnung,nein,ja,8,0, ,Grauschnäpper, ,
900125,16-05-2012,in Ordnung,nein,ja,0,0, ,Kleiber, ,
900126,16-05-2012,in Ordnung,nein,ja,0,7,4,Kohlmeise,0,
900127,16-05-2012,in Ordnung,nein,ja,0,9,6,Kohlmeise,9,Weibchen beringt
900128,16-05-2012,in Ordnung,nein,nein, , , , , ,
900129,16-05-2012,in Ordnung,nein,ja,0,7,12,Kleiber,7,
900130,16-05-2012,in Ordnung,nein,unbekannt, , , , , ,zugekleibert
900131,16-05-2012,in Ordnung,nein,unbekannt, , , , , ,zugekleibert
900132,16-05-2012,in Ordnung,nein,nein, , , , , ,
900133,16-05-2012,in Ordnung,nein,ja,0,4,12,Star,4,
400120,17-05-2012,in Ordnung,nein,ja,0,6,7,Kleiber,6,
400125,17-05-2012,in Ordnung,nein,nein, , , , , ,
400046,17-05-2012,in Ordnung,nein,ja,0,8,5,Blaumeise,8,
400063,17-05-2012,in Ordnung,nein,ja,0,0, ,Meise unbestimmt, ,
400121,17-05-2012,in Ordnung,nein,ja,5,0, ,Kohlmeise,0,Weibchen beringt
